gen,MeN0L1,MeN0L2,MeN0L3,MeM0L1,MeM0L2,MeM0L3,MeNdL1,MeNdL2,MeNdL3,PeN0L1,PeN0L2,PeN0L3,PeM0L1,PeM0L2,PeM0L3,PeNdL1,PeNdL2,PeNdL3,RiN0L1,RiN0L2,RiN0L3,RiM0L1,RiM0L2,RiM0L3,RiNdL1,RiNdL2,RiNdL3,VaN0L1,VaN0L2,VaN0L3,VaM0L1,VaM0L2,VaM0L3,VaNdL1,VaNdL2,VaNdL3,CeN0L1,CeN0L2,CeN0L3,CeM0L1,CeM0L2,CeM0L3,CeNdL1,CeNdL2,CeNdL3,LeN0L1,LeN0L2,LeN0L3,LeM0L1,LeM0L2,LeM0L3,LeNdL1,LeNdL2,LeNdL3,LiN0L1,LiN0L2,LiN0L3,LiM0L1,LiM0L2,LiM0L3,LiNdL1,LiNdL2,LiNdL3,CiN0L1,CiN0L2,CiN0L3,CiM0L1,CiM0L2,CiM0L3,CiNdL1,CiNdL2,CiNdL3,AzN0L1,AzN0L2,AzN0L3,AzM0L1,AzM0L2,AzM0L3,AzNdL1,AzNdL2,AzNdL3,ImN0L1,ImN0L2,ImN0L3,ImM0L1,ImM0L2,ImM0L3,ImNdL1,ImNdL2,ImNdL3
0,1300000,9300000,2300000,2300000,9600000,1.70E+07,42000,2900000,3300,320000,2000000,340000,230000,31000,360000,65000,200000,350000,2000000,2200000,930000,1.27E+07,6100000,9600000,2600000,1070000,71000,4500000,5800000,5100000,2.30E+07,4.50E+07,9.80E+07,780000,93000,91000,7.10E+07,8800000,2800000,3300000,610000,540000,18000,9600,14000,1.09E+07,3.10E+07,4400000,3700000,6100000,1210000,68000,30000,58000,3.80E+07,3600000,270000,4200000,2100000,9300000,11000,18000,8000,2.30E+08,4.50E+08,6.20E+07,0,2.40E+07,150000,60000,210000,130000,4.00E+07,1.40E+07,3.90E+07,30000,6000000,3100000,50000,70000,20000,3.30E+07,1.05E+07,5.20E+07,80000,90000,0,150000,10000,40000
1,180000,270000,390000,150000,110000,140000,43000,120000,45000,67000,310000,170000,53000,3200000,160000,26000,150000,65000,430000,710000,840000,1200000,4500000,2.00E+07,760000,110000,140000,2.70E+07,1.10E+07,1.21E+07,710000,1500000,2900000,2.20E+07,3200000,340000,2.40E+07,1.80E+07,1360000,67000,270000,73000,26000,1600000,1300000,280000,3100000,3300000,610000,8700000,280000,21000,24000,13700,4300000,230000,530000,650000,400000,23000,9000,2600,2300,9.80E+07,7300000,7.40E+07,140000,2300000,380000,1.09E+07,470000,1600000,960000,1.40E+07,9000000,1.40E+08,2.00E+07,1300000,190000,3000000,570000,1.26E+07,2.00E+08,1.30E+07,9000000,4100000,190000,2800000,1400000,5500000
2,25000,270000,540000,3400000,140000,110000,49000,320000,35000,290000,33000,470000,71000,67000,46000,1100,26000,49000,2200000,2700000,3500000,5500000,4200000,1400000,730000,130000,260000,6000000,1.00E+07,8500000,1.06E+07,5700000,2.30E+07,110000,65000,160000,2.30E+07,320000,290000,420000,290000,170000,15000,700,23000,1500000,2300000,1600000,180000,680000,440000,40000,27000,410000,8100000,3400000,580000,35000,200000,220000,7500,10000,13300,5600000,3.30E+07,3200000,1.20E+07,6900000,6200000,100000,160000,280000,2.20E+07,1.90E+08,1.40E+07,3500000,70000,140000,110000,330000,190000,1.80E+09,5.20E+07,750000,290000,100000,970000,490000,200000,130000
3,310000,280000,190000,210000,80000,110000,56000,2400,65000,66000,680000,89000,10000,2900,33000,100,500,29000,570000,2800000,1100000,640000,5200000,230000,6400,9700,1400,740000,850000,690000,5100000,4000000,4400000,3900,500,1600,2400000,90000,46000,3400000,120000,49000,4400,22000,11100,3000000,4600000,1.10E+07,350000,120000,340000,12000,20000,18000,1.60E+07,1800000,610000,700000,2600000,4500000,29000,23000,17000,1.70E+07,4500000,4.10E+07,2.60E+07,40000,650000,660000,50000,240000,8.70E+07,1.40E+07,3400000,990000,40000,10000,10000,40000,10000,1.30E+07,6.70E+07,5500000,210000,390000,1010000,13000,2000,22000
4,260000,140000,230000,36000,35000,42000,87000,67000,800,210000,150000,51000,150000,6500,4900000,4600,0,1300,510000,540000,1200000,660000,320000,170000,13000,18000,16000,290000,700000,690000,460000,140000,2700000,1800,100,6800,6100000,2100000,1600000,8400000,480000,2700000,580000,190000,41000,5800000,1.13E+07,1.24E+07,7900000,1300000,2600000,63000,82000,12000,1.80E+07,9600000,5600000,1400000,620000,1.30E+07,35000,37000,13000,3900000,1.70E+07,9300000,4000000,2800000,1.02E+07,0,2500000,320000,4500000,2200000,5200000,50000,6400000,4.20E+07,10000,60000,190000,1400000,5900000,6200000,410000,130000,4000,11000,57000,99000
5,690000,340000,410000,69000,130000,60000,160000,57000,52000,330000,690000,230000,17000,7300000,21000,1500,17000,2300,1600000,1500000,1000000,1.20E+07,2800000,4800000,62000,110000,150000,1.00E+07,56000,1200000,68000,18000,23000,400,10700,160000,1.30E+07,5.90E+07,8100000,2200000,1.20E+07,3500000,150000,65000,16000,3.80E+07,2.50E+07,1.70E+07,3.00E+07,2500000,4900000,99000,6100000,38000,1.90E+07,2.80E+07,4.30E+07,1.30E+07,2700000,7900000,57000,380000,25000,3.10E+07,4.10E+07,1.80E+07,4500000,8.80E+07,2.40E+07,6.80E+07,100000,20000,3.60E+07,1.20E+07,1.10E+07,1.02E+07,460000,2.10E+07,20000,10000,80000,2.30E+07,1.50E+08,6.80E+08,1.07E+07,9.20E+07,9.70E+09,4.00E+07,700000,900000
6,25000,280000,45000,21000,15000,7400,190000,41000,16000,14700,84000,210000,100,12000,26000,300,21000,35000,42000,230000,40000,3100,2100,100,200,0,13000,101000,56000,410000,37000,300000,2500,11000,100,3100,5.90E+07,3300000,2.20E+07,2300000,1.00E+07,2500000,180000,9700,76000,2.90E+07,4.70E+07,2.70E+07,2000000,8000000,72000,280000,180000,26000,3.40E+07,1.30E+07,3.30E+07,2800000,4200000,3000000,150000,20000,27000,2.70E+07,3000000,6.80E+07,8.90E+07,1.00E+07,870000,8.40E+07,7900000,60000,7.30E+07,5.80E+07,5.30E+07,2.10E+07,60000,1.12E+07,20000,0,60000,2300000,4.80E+07,8.30E+07,6600000,4500000,3200000,10000,9000,14000
7,21000,29000,64000,220000,160000,50000,53000,3500,24000,430000,59000,2400,400,73000,23000,700,11000,21000,36000,3600000,1800000,210000,45000,5600000,100000,1900000,34000,150000,340000,1400000,7200,88000,28000,900,51000,23000,2.20E+07,2.30E+07,1.90E+07,5800000,5200000,3.50E+07,610000,8600,56000,5.20E+07,3.70E+07,5.70E+07,6500000,2100000,2600000,107000,60000,220000,2400000,7400000,4.40E+07,40000,85000,50000,5000,5700,170000,3.30E+07,1.01E+07,2300000,7.00E+07,5500000,8.50E+07,30000,390000,100000,6800000,4.70E+07,1.60E+07,4700000,2.30E+07,5500000,30000,40000,50000,8300000,470000,8.70E+07,59000,650000,57000,37000,32000,107000
8,150000,36000,140000,310000,110000,140000,86000,130000,53000,3500,51000,26000,40000,400,190000,400,8200,600,250000,2400000,1600000,2600000,1500000,5600000,52000,27000,210000,190000,480000,330000,830000,7600000,360000,4900,4300,6600,2800000,1.12E+07,2.40E+07,5700000,1.70E+07,970000,620000,,10000,3.90E+07,2.80E+07,2.20E+07,1.00E+07,800000,190000,24000,58000,42000,2.00E+07,3.80E+07,3.30E+07,90000,160000,370000,44000,11000,43000,3.60E+07,3.70E+07,7.20E+07,890000,1900000,500000,7800000,30000,70000,3.70E+07,1.50E+08,1.04E+08,3.20E+07,300000,710000,10000,70000,80000,2.40E+07,5000000,3.00E+07,33000,80000,210000,48000,14000,125000
9,35000,300,19000,130000,180000,150000,18000,150000,90000,44000,5300,25000,1900000,3800,240000,1500,1000,1200,1300000,2000000,5400000,3.60E+07,1300000,5000000,350000,650000,22000,43000,390000,150000,690000,2300000,1300000,5200,2800,1900000,,1.20E+08,,,250000,,90000,12000,,2.00E+07,1.70E+07,1.50E+08,510000,100000,500000,82000,21000,76000,2800000,1.00E+07,7800000,2.60E+07,1.90E+07,4700000,18000,32000,21000,9000000,8.60E+07,3.40E+07,9100000,2700000,5100000,4800000,120000,3600000,1.13E+07,450000,3.00E+07,430000,470000,1260000,40000,60000,0,1.10E+07,430000,1.60E+07,230000,210000,300000,80000,170000,260000
