sample_name,input_bases,mapped_bases,genome_length,average_cov,percent_mapped_bases
AM0L1G0.gd,108314495,61323449,2160842,28.3794,0.566161
AM0L1G10.gd,68910777,63861093,2160842,29.5538,0.926721
AM0L1G11.gd,86231398,79845305,2160842,36.951,0.925942
AM0L1G12.gd,83549230,78283809,2160842,36.2284,0.936978
AM0L1G13.gd,1877126090,1769113362,2160842,818.715,0.942458
AM0L1G14.gd,1517994278,1437503570,2160842,665.252,0.946976
AM0L1G1.gd,62299440,57654247,2160842,26.6814,0.925438
AM0L1G2.gd,1216060032,1141691551,2160842,528.355,0.938845
AM0L1G3.gd,102360520,93589743,2160842,43.3117,0.914315
AM0L1G4.gd,91277510,80381603,2160842,37.1992,0.880629
AM0L1G5.gd,128756422,119467831,2160842,55.2876,0.927859
AM0L1G6.gd,214726161,195329661,2160842,90.3952,0.909669
AM0L1G7.gd,216190528,190177593,2160842,88.0109,0.879676
AM0L1G8.gd,113897296,102291660,2160842,47.3388,0.898104
AM0L1G9.gd,857053164,808443497,2160842,374.134,0.943283
AM0L2G0.gd,658593684,635536935,2160842,294.115,0.964991
AM0L2G10.gd,114318609,104701848,2160842,48.4542,0.915878
AM0L2G11.gd,846872228,749606350,2160842,346.905,0.885147
AM0L2G12.gd,166868006,143438805,2160842,66.381,0.859594
AM0L2G13.gd,1473201453,1346278573,2160842,623.034,0.913846
AM0L2G14.gd,1069259942,1019863259,2160842,471.975,0.953803
AM0L2G1.gd,738051312,701341867,2160842,324.569,0.950262
AM0L2G2.gd,814532626,786555965,2160842,364.004,0.965653
AM0L2G3.gd,490650900,468307612,2160842,216.725,0.954462
AM0L2G4.gd,1276013290,1073741244,2160842,496.909,0.841481
AM0L2G5.gd,810054332,758886625,2160842,351.199,0.936834
AM0L2G6.gd,717629577,666125758,2160842,308.271,0.928231
AM0L2G7.gd,1195903979,1123967715,2160842,520.153,0.939848
AM0L2G8.gd,1011383385,964709195,2160842,446.451,0.953851
AM0L2G9.gd,58645042,54734837,2160842,25.3303,0.933324
AM0L3G0.gd,925781021,887976147,2160842,410.94,0.959164
AM0L3G10.gd,88897996,80709491,2160842,37.3509,0.907889
AM0L3G11.gd,102141570,93597151,2160842,43.3151,0.916347
AM0L3G12.gd,1180430968,1114593837,2160842,515.815,0.944226
AM0L3G13.gd,661620865,614116925,2160842,284.203,0.928201
AM0L3G14.gd,1050973939,991103163,2160842,458.665,0.943033
AM0L3G1.gd,755719550,696683971,2160842,322.413,0.921882
AM0L3G2.gd,1202908289,1143280905,2160842,529.09,0.950431
AM0L3G3.gd,133233750,124977882,2160842,57.8376,0.938035
AM0L3G4.gd,134295391,122272290,2160842,56.5855,0.910473
AM0L3G5.gd,122392453,111707156,2160842,51.6961,0.912696
AM0L3G6.gd,476072144,425428970,2160842,196.881,0.893623
AM0L3G7.gd,407725275,373618170,2160842,172.904,0.916348
AM0L3G8.gd,1559635878,1466530499,2160842,678.685,0.940303
AM0L3G9.gd,674929865,651854394,2160842,301.667,0.965811
AN0L1G0.gd,1656191442,1518817505,2160842,702.882,0.917054
AN0L1G10.gd,764999286,668887485,2160842,309.549,0.874364
AN0L1G11.gd,431075453,406551229,2160842,188.145,0.943109
AN0L1G12.gd,3175153542,3066405215,2160842,1419.08,0.96575
AN0L1G13.gd,617748993,580439141,2160842,268.617,0.939604
AN0L1G14.gd,1865563157,1777045167,2160842,822.386,0.952552
AN0L1G1.gd,1919593785,1615046692,2160842,747.415,0.841348
