gene_num,start,end,gene,locus_tag,old_locus_tag,n_distinct_mutations,description,sig
1367,1488139,1488714,SP_1583,SP_RS07805,SP_1583,28,cysteine hydrolase,TRUE
1504,1643241,1644854,SP_1739,SP_RS08605,SP_1739,21,ribonuclease Y,TRUE
298,322966,323649,cps4D,SP_RS01705,SP_0349,8,capsular polysaccharide biosynthesis protein Cps4D,TRUE
297,322264,322956,cpsC,SP_RS01700,SP_0348,7,capsular polysaccharide biosynthesis protein CpsC,TRUE
624,694862,696637,spxB,SP_RS03575,SP_0730,7,pyruvate oxidase,TRUE
932,1019038,1020315,spxR,SP_RS05355,SP_1083,6,CBS-HotDog domain-containing transcription factor SpxR,TRUE
1815,1945556,1946542,SP_2040,SP_RS10315,SP_2040,6,protein jag,TRUE
315,346853,349012,pbp1a,SP_RS01800,SP_0369,5,penicillin-binding protein PBP1A,TRUE
323,355159,355848,SP_0376,SP_RS01840,SP_0376,5,response regulator transcription factor,TRUE
609,680430,681566,lctO,SP_RS03500,SP_0715,5,L-lactate oxidase,TRUE
884,970425,972056,rlmD,SP_RS05105,SP_1029,5,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,TRUE
1678,1815445,1816800,rlmD,SP_RS09555,SP_1901,5,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,TRUE
1954,2091944,2093188,dltB,SP_RS11095,SP_2175,5,D-alanyl-lipoteichoic acid biosynthesis protein DltB,TRUE
1727,1866355,1869966,rpoB,SP_RS09855,SP_1961,4,DNA-directed RNA polymerase subunit beta,FALSE
572,634781,640501,SP_0664,SP_RS03260,SP_0664,3,LPXTG cell wall anchor domain-containing protein,FALSE
1311,1430072,1433170,SP_1523,SP_RS07500,SP_1523,3,DEAD/DEAH box helicase,FALSE
1726,1862645,1866322,rpoC,SP_RS09850,SP_1960,3,DNA-directed RNA polymerase subunit beta',FALSE
68,84191,84856,SP_0079,SP_RS00410,SP_0079,2,TrkA family potassium uptake protein,FALSE
79,94939,95079,SP_RS00470,SP_RS00470,SP_RS00470,2,hypothetical protein,FALSE
135,151922,153568,SP_0155,SP_RS00800,SP_0155,2,sensor histidine kinase,FALSE
168,185221,186753,cls,SP_RS00965,SP_0199,2,cardiolipin synthase,FALSE
245,262907,263926,adhP,SP_RS01400,SP_0285,2,alcohol dehydrogenase AdhP,FALSE
384,415582,417249,SP_0443,SP_RS02185,SP_0443,2,DAK2 domain-containing protein,FALSE
415,459148,460587,SP_0479,SP_RS02365,SP_0479,2,TrkH family potassium uptake protein,FALSE
416,460591,461940,trkA,SP_RS02370,SP_0480,2,Trk system potassium transporter TrkA,FALSE
481,523124,526000,infB,SP_RS02730,SP_0556,2,translation initiation factor IF-2,FALSE
523,574923,575600,SP_0608,SP_RS02990,SP_0608,2,amino acid ABC transporter permease,FALSE
558,615442,622143,SP_0648,SP_RS03175,SP_0648,2,Ig-like domain-containing protein,FALSE
654,726674,727759,rlmN,SP_RS03750,SP_0768,2,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,FALSE
687,755550,758000,SP_0802,SP_RS03930,SP_0802,2,bifunctional DnaQ family exonuclease/ATP-dependent helicase,FALSE
718,794144,795202,SP_0847,SP_RS04145,SP_0847,2,ABC transporter permease,FALSE
876,963452,964531,prfA,SP_RS05065,SP_1020,2,peptide chain release factor 1,FALSE
890,976435,977229,SP_1035,SP_RS05135,SP_1035,2,ABC transporter ATP-binding protein,FALSE
916,1001278,1002507,SP_1067,SP_RS05275,SP_1067,2,FtsW/RodA/SpoVE family cell cycle protein,FALSE
925,1012809,1014134,SP_1076,SP_RS05320,SP_1076,2,glycosyltransferase family 4 protein,FALSE
1058,1164319,1164870,coaC,SP_RS06035,SP_1231,2,phosphopantothenoylcysteine decarboxylase,FALSE
1175,1287983,1288969,SP_1365,SP_RS06685,SP_1365,2,glycosyltransferase,FALSE
1230,1341630,1343090,SP_1421,SP_RS06970,SP_1421,2,nicotinate phosphoribosyltransferase,FALSE
1276,1388824,1389741,glyQ,SP_RS07250,SP_1475,2,glycine--tRNA ligase subunit alpha,FALSE
1297,1416475,1417881,atpD,SP_RS07425,SP_1508,2,F0F1 ATP synthase subunit beta,FALSE
1374,1496624,1497706,SP_1591,SP_RS07840,SP_1591,2,Xaa-Pro peptidase family protein,FALSE
1453,1582167,1583495,SP_1683,SP_RS08315,SP_1683,2,ABC transporter substrate-binding protein,FALSE
1516,1652068,1652976,SP_1751,SP_RS08665,SP_1751,2,magnesium transporter CorA family protein,FALSE
1626,1774512,1775471,SP_1869,SP_RS09270,SP_1869,2,ABC transporter permease,FALSE
1648,1798266,1799459,SP_1893,SP_RS09400,SP_1893,2,O-antigen ligase family protein,FALSE
1695,1831896,1833311,ply,SP_RS09670,SP_1923,2,cholesterol-dependent cytolysin pneumolysin,FALSE
1864,1987541,1987987,argR,SP_RS10580,SP_2077,2,arginine repressor,FALSE
1953,2091691,2091930,dltC,SP_RS11090,SP_2174,2,D-alanine--poly(phosphoribitol) ligase subunit DltC,FALSE
34,36168,37337,SP_0035,SP_RS00215,SP_0035,1,pyridoxal phosphate-dependent aminotransferase,FALSE
53,58271,59569,purB,SP_RS00320,SP_0056,1,adenylosuccinate lyase,FALSE
56,64955,66742,SP_0060,SP_RS00335,SP_0060,1,beta-galactosidase,FALSE
60,68957,69361,SP_0064,SP_RS00355,SP_0064,1,PTS sugar transporter subunit IIA,FALSE
64,79687,80541,SP_0073,SP_RS00385,SP_0073,1,VOC family protein,FALSE
70,85772,86182,SP_RS00420,SP_RS00420,SP_RS00420,1,hypothetical protein,FALSE
72,89038,89736,SP_0083,SP_RS00430,SP_0083,1,response regulator transcription factor,FALSE
82,98131,98991,SP_0096,SP_RS00485,SP_0096,1,DUF4299 family protein,FALSE
97,111133,113241,SP_0110,SP_RS00560,SP_0110,1,bacteriocin-associated integral membrane family protein,FALSE
105,118423,120657,pspA,SP_RS00595,SP_0117,1,pneumococcal surface protein A,FALSE
121,139839,140702,SP_0141,SP_RS00725,SP_0141,1,XRE/MutR family transcriptional regulator,FALSE
148,165751,167700,mutL,SP_RS00865,SP_0173,1,DNA mismatch repair endonuclease MutL,FALSE
172,191073,191579,SP_0204,SP_RS00990,SP_0204,1,GNAT family N-acetyltransferase,FALSE
178,195155,195988,rplB,SP_RS01025,SP_0212,1,50S ribosomal protein L2,FALSE
197,205316,205534,infA,SP_RS01120,SP_0232,1,translation initiation factor IF-1,FALSE
209,215992,216738,SP_0246,SP_RS01195,SP_0246,1,DeoR/GlpR family DNA-binding transcription regulator,FALSE
217,224752,227253,SP_0254,SP_RS01235,SP_0254,1,leucine--tRNA ligase,FALSE
219,228155,228571,SP_0256,SP_RS01245,SP_0256,1,GNAT family N-acetyltransferase,FALSE
232,247538,248008,rpsG,SP_RS01325,SP_0272,1,30S ribosomal protein S7,FALSE
243,260854,261657,SP_0283,SP_RS01390,SP_0283,1,PTS mannose/fructose/sorbose transporter subunit IIC,FALSE
244,261685,262674,SP_0284,SP_RS01395,SP_0284,1,PTS sugar transporter subunit IIB,FALSE
258,276838,278274,SP_0303,SP_RS01480,SP_0303,1,6-phospho-beta-glucosidase,FALSE
267,287483,290683,SP_0314,SP_RS01530,SP_0314,1,LPXTG-anchored hyaluronate lyase,FALSE
282,304679,305221,SP_0332,SP_RS01620,SP_0332,1,DUF3278 domain-containing protein,FALSE
286,306880,309132,pbp2X,SP_RS01640,SP_0336,1,penicillin-binding protein 2X,FALSE
